ticker,as_of,dividend_yield,payout_ratio,buyback_3y,verified,source
005830,2026-06-17,3.2,35,true,true,manual
021240,2026-06-17,2.1,28,false,true,manual
005440,2026-06-17,2.8,30,true,true,manual
192400,2026-06-17,2.5,25,false,true,manual
006040,2026-06-17,3.5,40,true,true,manual
036530,2026-06-17,3.8,45,true,true,manual
002380,2026-06-17,2.0,22,false,true,manual
271560,2026-06-17,2.4,32,true,true,manual
030190,2026-06-17,1.8,20,false,true,manual
453340,2026-06-17,2.2,28,false,true,manual
000660,2026-06-17,1.2,15,true,true,manual
